Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score ,NND,NRI,Reference_ID
12,Ismaili Community Center And Jamatkhana - Birmingham,131 Oxmoor Ct,Birmingham,AL,35209,,,,2007,,https://www.al.com/news/birmingham/2025/12/hoovers-rejection-of-islamic-school-opens-old-religious-freedom-debates.html,,,,,2716
13,Muhammad Mosque #69,521 Tuscaloosa Ave,Birmingham,AL,35211,,,,1934,,https://www.muibirmingham.org/,,,,,2259
14,BIS Hoover Crescent Islamic Center,2524 Hackberry Ln,Hoover,AL,35226,,,,1990,,https://thigmos.com/bis-hoover-crescent-islamic-center/about,,,,,2251
15,Islamic Society of Tuscaloosa/Masjid Omar Ibn Al-Khatab,1416 Paul West Bryant Drive,Tuscaloosa,AL,35401,,,,1999,,"https://thecrimsonwhite.com/13405/news/ua-muslim-community-thrives-despite-small-size/#:~:text=%E2%80%9C%5BThe%20Islamic%20Center%5D%20mostly,identity%20as%20someone%20from%20Alabama.%E2%80%9D",,,,,420
16,Masjid Al-Islam,903 Columbus rd,Aliceville,AL,35442,,,,-,Information Without Year,https://prayersconnect.com/mosques/84056833-masjid-al-islam-aliceville-alabama-united-states,,,,,1701
17,Jasper Mosque,218 30th Street W,Jasper,AL,35501,,,,-,Information Without Year,https://www.bisweb.org/history/,,,,,2714
18,Al-Noor Mosque,1209 Danville Rd SW,Decatur,AL,35601,,,,-,No Basic Information,,,,,,2715
19,ICD Islamic Center Decatur,2916 Sandlin Rd SW,Decatur,AL,35603,,,,2019,,"https://www.causeiq.com/organizations/icd,823495721/",,,,,2255
20,Florence Islamic Center ,401 Veterans Dr,Florence,AL,35630,,,,2012,,https://ficalabama.org/#about,,,,,2712
21,Madison Masjid - North Alabama Islamic Society,105 W Dublin Dr,Madison,AL,35758,,,,-,Information Without Year,https://madisonmasjid.com/madison/index.php/about-us,,,,,2252
22,Alabama Islamic Educational Center of Fatemeh Al-Z,8200 Memorial Pkwy Sw,Huntsville,AL,35802,,,,1990,,https://huntsvilleislamiccenter.org/about-us,,,,,918
23,Huntsville Islamic Center,1645 Sparkman Dr.,Huntsville,AL,35816,,,,1990,,https://huntsvilleislamiccenter.org/about-us,,,,,1133
24,Gadsden Islamic Society,108 S 9th St,Gadsden,AL,35903,,,,2011,,https://prayersconnect.com/mosques/84013161-gadsden-islamic-society-gadsden-alabama-united-states,,,,,278
25,Islamic Community of Tuskegee,1103 S Main st,Tuskegee,AL,36083,,,,-,No Basic Information,,,,,,1400
26,Masjid Ash-Shura,1902 Franklin rd,Tuskegee,AL,36088,,,,1990,,https://tuskegeemasjid.wixsite.com/tuskegeemajid/about,,,,,1820
27,Muslim Center of Montgomery,4340 S Court st,Montgomery,AL,36105,,,,2026,,https://www.mcmontgomery.org/about,,,,,2082
28,Masjid Qasim B El-Amin,2425 Lark Dr,Montgomery,AL,36108,,,,1984,,https://prayersconnect.com/mosques/84044618-masjid-qasim-bilal-el-amin-montgomery-alabama-united-states,,,,,2258
29,East Montgomery Islamic Center/Omar Bin Khattab Mosque,3430 Kessinger Dr.,Montgomery,AL,36116,,,,,,https://emismosque.org/index.html,,,,,1087
30,East Montgomery Islamic Center - EMIC,8786 Vaughn Rd,Montgomery,AL,36117,,,,2006,,https://thigmos.com/east-montgomery-islamic-center/about,,,,,2253
31,Anniston Islamic Center/Masjid An Noor,1821 Mc Call Dr,Anniston,AL,36207,,,,1985,,https://www.guidestar.org/profile/63-0882703,,,,,2256
32,MCW Masjid Al-Noor Dothan Mosque,"1603, Napier Field Rd",Dothan,AL,36303,,,,-,Information Without Year,https://www.facebook.com/mcwmasjidalnoor.dothanalabama/,,,,,2260
33,Muslim Community of the Wiregrass,4500 Napier Fields rd,Dothan,AL,36303,,,,2003,,"https://www.causeiq.com/organizations/islamic-center-of-dothan-incorporated,161645662/",,,,,2096
34,Hartford Islamic Center,503 N 6th ave,Hartford,AL,36344,,,,-,No Basic Information,,,,,,1125
35,Masjid Baitul Haqq,509 Aurelie st,Mobile,AL,36604,,,,1994,,https://prayersconnect.com/mosques/84063757-masjid-baitul-haqq-mobile-alabama-united-states,,,,,1836
36,Mobile Masjid of Al Islam,1559 Duval St,Mobile,AL,36605,,,,-,No Basic Information,,,,,,2047
